mode,seed_index,threshold,k,precision_at_k,recall_at_k,f1_score,ndcg_at_k
lexical,334,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
lexical,834,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
lexical,834,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
lexical,834,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
lexical,726,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
lexical,726,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
lexical,726,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
lexical,333,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
lexical,333,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
lexical,333,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
lexical,356,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
lexical,356,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
lexical,356,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
lexical,749,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
lexical,749,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
lexical,749,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
lexical,49,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
lexical,49,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
lexical,49,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
lexical,688,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
lexical,688,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
lexical,688,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
lexical,537,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
lexical,537,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
lexical,537,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
lexical,460,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
lexical,460,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
lexical,460,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
lexical,475,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
lexical,475,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
lexical,475,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
lexical,730,1,5,1.0,0.005611672278338945,0.011160714285714284,1.0
lexical,730,1,10,1.0,0.01122334455667789,0.022197558268590455,1.0
lexical,730,1,20,1.0,0.02244668911335578,0.043907793633369926,1.0
lexical,772,2,5,1.0,0.0071633237822349575,0.01422475106685633,1.0
lexical,772,2,10,0.9,0.012893982808022923,0.025423728813559324,0.933745776545611
lexical,772,2,20,0.9,0.025787965616045846,0.05013927576601672,0.9176206204291528
lexical,731,2,5,1.0,0.007352941176470588,0.014598540145985401,1.0
